Year,Agency,Category,Detail,Vendor,Federal
2011,JUDICIARY,PROFESSIONAL SERVICES,REHABILITATIVE SERVICES,FAMILY COUNSELING CENTER,318009.41
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,PROGRAM CONSULTANT SERVICES,FAMILY COUNSELING CENTER,13050
2011,JUDICIARY,PROFESSIONAL SERVICES,LABORATORY SERVICES,FAMILY COUNSELING CENTER,12058.65
2011,MENTAL HEALTH,PROGRAM DISTRIBUTIONS,MENTAL HEALTH PAYMNTS-1099 YES,FAMILY COUNSELING CENTER,10507690.73
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,FAMILY COUNSELING CENTER,6759.07
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FAMILY COUNSELING CENTER,26.53
2011,JUDICIARY,PROFESSIONAL SERVICES,PROFESSIONAL COURT SERVICES,FAMILY COUNSELING CENTER,10992.65
2011,MENTAL HEALTH,SUPPLIES,PUBLICATIONS & SUBSCRIPTIONS,FAMILY COUNSELING CENTER,360
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FAMILY COUNSELING CENTER,500
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FAMILY COUNSELING CENTER,350
2011,PUBLIC SAFETY,PROFESSIONAL SERVICES,REHABILITATIVE SERVICES,FAMILY COUNSELING CENTER,9639
2011,CORRECTIONS,BUILDING LEASE PAYMENTS,"BUILDING/STORAGE/STRUCTURE LEASES, OPER",FAMILY COUNSELING CENTER,2400
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,MENTAL HEALTH PAYMNTS-1099 YES,FAMILY COUNSELING CENTER,237715.02
2011,SOCIAL SERVICES,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",FAMILY COUNSELING CENTER,24
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FAMILY COUNSELING CENTER,359.97
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,MENTAL HEALTH PAYMNTS-1099 YES,FAMILY COUNSELING CENTER OF MO,17979.2
2011,JUDICIARY,PROFESSIONAL SERVICES,REHABILITATIVE SERVICES,FAMILY COUNSELING CENTER OF MO,112719
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,FAMILY COUNSELING CENTER OF MO,11584
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,FAMILY COUNSELING CENTER OF MO,3927.18
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FAMILY COUNSELING CENTER OF MO,637.42
2011,JUDICIARY,PROFESSIONAL SERVICES,PROFESSIONAL COURT SERVICES,FAMILY COUNSELING CENTER OF MO,5112
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,OTHER HEALTH SERVICES,FAMILY COUNSELING CENTER OF MO,247643.71
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,FAMILY COUNSELING CENTER OF MO,23.59
2011,MENTAL HEALTH,PROGRAM DISTRIBUTIONS,MENTAL HEALTH PAYMNTS-1099 YES,FAMILY COUNSELING CENTER OF MO,2982591.28
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FAMILY COUNSELING CENTER OF MO,24.86
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM EQUIPMENT SALES INC,499.32
2011,CORRECTIONS,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM EQUIPMENT SALES INC,3973.58
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,AGRICULTURE/GROUNDS MAINT  - NON AUTO,FARM EQUIPMENT SALES INC,1400
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FARM EQUIPMENT SALES INC,16.75
2011,NATURAL RESOURCES,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FARM EQUIPMENT SALES INC,187.05
2011,CORRECTIONS,OTHER EQUIPMENT,OTHER EQUIPMENT,FARM EQUIPMENT SALES INC,325
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,AGRICULTURE/GROUNDS EQUIP REPAIR & MAINT,FARM EQUIPMENT SALES INC,89.27
2011,CORRECTIONS,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FARM EQUIPMENT SALES INC,13.45
2011,NATURAL RESOURCES,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FARM EQUIPMENT SALES INC,13.46
2011,CORRECTIONS,REPAIR & MAINTENANCE SERVICES,AGRICULTURE/GROUNDS EQUIP REPAIR & MAINT,FARM EQUIPMENT SALES INC,1106.34
2011,NATURAL RESOURCES,SUPPLIES,VEHICLE REPAIR SUPPLIES,FARM EQUIPMENT SALES INC,166.21
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FARM EQUIPMENT SALES INC,490
2011,NATURAL RESOURCES,SUPPLIES,MECHANICAL SUPPLIES,FARM EQUIPMENT SALES INC,985.68
2011,NATURAL RESOURCES,SUPPLIES,UNIFORMS & CLOTHING,FARM & HOME OF WARRENSBURG,9.99
2011,TRANSPORTATION,SUPPLIES,UNIFORMS & CLOTHING,FARM & HOME OF WARRENSBURG,30.96
2011,NATURAL RESOURCES,OTHER EQUIPMENT,OTHER SPECIFIC USE EQUIPMENT,FARM & HOME OF WARRENSBURG,697.78
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FARM & HOME OF WARRENSBURG,41.47
2011,NATURAL RESOURCES,SUPPLIES,EDUCATION SUPPLIES,FARM & HOME OF WARRENSBURG,19.98
2011,TRANSPORTATION,SUPPLIES,ELECTRICAL SUPPLIES,FARM & HOME OF WARRENSBURG,32.49
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,OTHER EQUIPMENT REPAIR & MAINTENANCE,FARM & HOME OF WARRENSBURG,51.6
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,FARM & HOME OF WARRENSBURG,251.7
2011,NATURAL RESOURCES,OTHER EQUIPMENT,HOUSEHOLD FURNITURE & EQUIPMENT,FARM & HOME OF WARRENSBURG,28.26
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM & HOME OF WARRENSBURG,3031.12
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM & HOME OF WARRENSBURG,170.07
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,FARM & HOME OF WARRENSBURG,269.92
2011,NATURAL RESOURCES,SUPPLIES,PLUMBING SUPPLIES,FARM & HOME OF WARRENSBURG,23.8
2011,NATURAL RESOURCES,SUPPLIES,OTHER ADMINISTRATIVE SUPPLIES,FARM & HOME OF WARRENSBURG,6.49
2011,NATURAL RESOURCES,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FARM & HOME OF WARRENSBURG,127.2
2011,NATURAL RESOURCES,SUPPLIES,VEHICLE REPAIR SUPPLIES,FARM & HOME OF WARRENSBURG,32.36
2011,NATURAL RESOURCES,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FARM & HOME OF WARRENSBURG,16.49
2011,NATURAL RESOURCES,SUPPLIES,BUILDING REPAIR SUPPLIES,FARM & HOME OF WARRENSBURG,11.98
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,532.68
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,FARMINGTON CLINIC COMPANY LLC,3915.61
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,1343.28
2011,HEALTH AND SENIOR SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,110
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FARMINGTON CLINIC COMPANY LLC,28
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,24.57
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,1563.4
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,FARMINGTON CLINIC COMPANY LLC,71.02
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FARMINGTON CLINIC COMPANY LLC,292.5
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FARMINGTON CLINIC COMPANY LLC,1187.87
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,FARM PLAN,527.48
2011,PUBLIC SAFETY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FARM PLAN,1111.82
2011,NATURAL RESOURCES,SUPPLIES,BUILDING REPAIR SUPPLIES,FARM PLAN,33.57
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,VEHICLE REPAIR & MAINTENANCE,FARM PLAN,4487.94
2011,OFFICE OF ADMINISTRATION,REPAIR & MAINTENANCE SERVICES,AGRICULTURE/GROUNDS EQUIP REPAIR & MAINT,FARM PLAN,1259.14
2011,PUBLIC SAFETY,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM PLAN,3668.24
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,OTHER EQUIPMENT REPAIR & MAINTENANCE,FARM PLAN,130
2011,PUBLIC SAFETY,REPAIR & MAINTENANCE SERVICES,AGRICULTURE/GROUNDS EQUIP REPAIR & MAINT,FARM PLAN,2369.42
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM PLAN,4815.03
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,FARM PLAN,2065.49
2011,NATURAL RESOURCES,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FARM PLAN,25.25
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM PLAN,205.09
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,HEAVY EQUIPMENT REPAIR & MAINTENANCE,FARM PLAN,521.56
2011,AGRICULTURE,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FARM PLAN,67.27
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM PLAN,3074.26
2011,AGRICULTURE,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM PLAN,2476.81
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,AGRICULTURE/GROUNDS EQUIP REPAIR & MAINT,FARM POWER LAWN-LEISURE,2579.72
2011,CORRECTIONS,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FARM POWER LAWN-LEISURE,50
2011,NATURAL RESOURCES,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,FARM POWER LAWN-LEISURE,282.32
2011,CONSERVATION,OTHER EQUIPMENT,AGRICULTURE/GROUNDS MAINT  - NON AUTO,FARM POWER LAWN-LEISURE,22972
2011,NATURAL RESOURCES,SUPPLIES,VEHICLE REPAIR SUPPLIES,FARM POWER LAWN-LEISURE,85.54
2011,CORRECTIONS,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FARM POWER LAWN-LEISURE,187.04
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM POWER LAWN-LEISURE,180.23
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,FARM POWER LAWN-LEISURE,66
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FARM POWER LAWN-LEISURE,2629.65
2011,TRANSPORTATION,OTHER EQUIPMENT,AGRICULTURE/GROUNDS MAINT  - NON AUTO,FARM POWER LAWN-LEISURE,21260
2011,TRANSPORTATION,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,16.48
2011,NATURAL RESOURCES,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,333.44
2011,PUBLIC SAFETY,SUPPLIES,CUSTODIAL SUPPLIES,FASTENAL CO,436.71
2011,MENTAL HEALTH,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,20.56
2011,REVENUE,SUPPLIES,OFFICE SUPPLIES,FASTENAL CO,93.74
2011,OFFICE OF ADMINISTRATION,SUPPLIES,REBILL INVENT/SUPPLY PURCH,FASTENAL CO,21.5
2011,PUBLIC SAFETY,SUPPLIES,UNIFORMS & CLOTHING,FASTENAL CO,41.12
2011,OFFICE OF ADMINISTRATION,SUPPLIES,PLUMBING SUPPLIES,FASTENAL CO,397.04
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,OTHER EQUIPMENT REPAIR & MAINTENANCE,FASTENAL CO,247.4
2011,OFFICE OF ADMINISTRATION,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,455.39
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FASTENAL CO,79.58
2011,MENTAL HEALTH,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,48.74
2011,TRANSPORTATION,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,4380.75
2011,LEGISLATURE,SUPPLIES,PRINTING & BINDING SUPPLIES,FASTENAL CO,90.64
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,OTHER PROPERTY & IMPROVEMENTS,FASTENAL CO,1842.98
2011,NATURAL RESOURCES,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,10.97
2011,PUBLIC SAFETY,SUPPLIES,VEHICLE REPAIR SUPPLIES,FASTENAL CO,19.41
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,FASTENAL CO,1686.02
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FASTENAL CO,21813.62
2011,OFFICE OF ADMINISTRATION,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,3686.79
2011,TRANSPORTATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,FASTENAL CO,2414.39
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,191.02
2011,PUBLIC SAFETY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,590.21
2011,OFFICE OF ADMINISTRATION,SUPPLIES,CUSTODIAL SUPPLIES,FASTENAL CO,84.28
2011,REVENUE,SUPPLIES,OTHER MERCHANDISING SUPPLIES,FASTENAL CO,16.17
2011,MENTAL HEALTH,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,842.46
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,FASTENAL CO,1435.33
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,267.73
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,FASTENAL CO,2814.06
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,5756.93
2011,TRANSPORTATION,SUPPLIES,CUSTODIAL SUPPLIES,FASTENAL CO,3824.69
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,OTHER BUSINESS SERVICES,FASTENAL CO,72.1
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,98.23
2011,NATURAL RESOURCES,SUPPLIES,ELECTRICAL SUPPLIES,FASTENAL CO,19.74
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,FASTENAL CO,3439.65
2011,MENTAL HEALTH,PROPERTY & IMPROVEMENTS,MAJOR BUILDING/FACILITY REPAIR SERVICES,FASTENAL CO,16
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,1453.18
2011,OFFICE OF ADMINISTRATION,SUPPLIES,ELECTRICAL SUPPLIES,FASTENAL CO,65.34
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,2860.73
2011,MENTAL HEALTH,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL CO,5.68
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,22205.98
2011,OFFICE OF ADMINISTRATION,SUPPLIES,MECHANICAL SUPPLIES,FASTENAL CO,224.25
2011,TRANSPORTATION,SUPPLIES,UNIFORMS & CLOTHING,FASTENAL CO,16418.13
2011,PUBLIC SAFETY,OTHER EQUIPMENT,OTHER EQUIPMENT,FASTENAL CO,167.03
2011,TRANSPORTATION,SUPPLIES,OFFICE SUPPLIES,FASTENAL CO,106.25
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,608.51
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,130488.76
2011,MENTAL HEALTH,SUPPLIES,CUSTODIAL SUPPLIES,FASTENAL CO,122.14
2011,TRANSPORTATION,SUPPLIES,ENGINEERING & TECHNICAL SUPPLIES,FASTENAL CO,204.57
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,900.92
2011,TRANSPORTATION,SUPPLIES,ELECTRICAL SUPPLIES,FASTENAL CO,61.21
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FASTENAL CO,4529.29
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,61.03
2011,NATURAL RESOURCES,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL CO,7.74
2011,CORRECTIONS,SUPPLIES,VEHICLE REPAIR SUPPLIES,FASTENAL CO,24
2011,OFFICE OF ADMINISTRATION,SUPPLIES,MECHANICAL SUPPLIES,FASTENAL CO,3544.54
2011,AGRICULTURE,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL CO,30.26
2011,OFFICE OF ADMINISTRATION,SUPPLIES,UNIFORMS & CLOTHING,FASTENAL CO,38.3
2011,AGRICULTURE,SUPPLIES,ELECTRICAL SUPPLIES,FASTENAL CO,8.46
2011,MENTAL HEALTH,SUPPLIES,VEHICLE REPAIR SUPPLIES,FASTENAL CO,2338.35
2011,CORRECTIONS,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FASTENAL CO,4.8
2011,CORRECTIONS,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,FASTENAL CO,44.47
2011,PUBLIC SAFETY,SUPPLIES,ELECTRICAL SUPPLIES,FASTENAL COMPANY,34.67
2011,CORRECTIONS,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FASTENAL COMPANY,143.6
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,OTHER PROPERTY & IMPROVEMENTS,FASTENAL COMPANY,130.89
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FASTENAL COMPANY,55.15
2011,ELEMENTARY AND SECONDARY EDUCATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FASTENAL COMPANY,218.99
2011,CORRECTIONS,SUPPLIES,BUILDING REPAIR SUPPLIES,FASTENAL COMPANY,9.95
2011,CORRECTIONS,SUPPLIES,MANUFACTURING SUPPLIES,FASTENAL COMPANY,122.18
2011,CORRECTIONS,SUPPLIES,MANUFACTURING SUPPLIES,FASTENAL COMPANY,717.13
2011,CORRECTIONS,SUPPLIES,MECHANICAL SUPPLIES,FASTENAL COMPANY,17.25
2011,CORRECTIONS,SUPPLIES,MECHANICAL SUPPLIES,FASTENAL COMPANY,72.33
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,39.31
2011,REVENUE,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,6794.61
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,48.36
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FEDERAL EXPRESS,22.42
2011,AGRICULTURE,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,1672.01
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,SPECIALIZED SERVICES,FEDERAL EXPRESS,8.08
2011,CONSERVATION,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,357.42
2011,TRANSPORTATION,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,1564.28
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,63.24
2011,HIGHER EDUCATION,PROFESSIONAL SERVICES,COLLECTION SERVICES,FEDERAL EXPRESS,752.51
2011,OFFICE OF SECRETARY OF STATE,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,45.69
2011,JUDICIARY,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,481.92
2011,PUBLIC SAFETY,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,662.41
2011,JUDICIARY,SUPPLIES,LIBRARY MATERIAL & SUPPLIES,FEDERAL EXPRESS,5.52
2011,LABOR AND INDUSTRIAL RELATIONS,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,147.94
2011,HIGHER EDUCATION,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,13204.41
2011,PUBLIC SAFETY,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,FEDERAL EXPRESS,20
2011,JUDICIARY,SUPPLIES,POSTAGE,FEDERAL EXPRESS,189.07
2011,LEGISLATURE,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,39.34
2011,"INSURANCE, FIN INST AND PROF REGISTRATION",PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,162.21
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,58.1
2011,TRANSPORTATION,SUPPLIES,POSTAGE,FEDERAL EXPRESS,6.26
2011,OFFICE OF STATE TREASURER,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,16.52
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,36.51
2011,OFFICE OF ATTORNEY GENERAL,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,FEDERAL EXPRESS,32568.99
2011,CONSERVATION,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,8747.37
2011,TRANSPORTATION,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,1957.93
2011,AGRICULTURE,SUPPLIES,OFFICE SUPPLIES,FEDEX KINKOS,109.59
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,REBILL PRINT & BINDING SERV,FEDEX KINKOS,12068.93
2011,AGRICULTURE,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,702
2011,OFFICE OF ATTORNEY GENERAL,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,3449.71
2011,JUDICIARY,PROFESSIONAL SERVICES,PHOTOGRAPHIC SERVICES,FEDEX KINKOS,359.97
2011,PUBLIC SAFETY,PROFESSIONAL SERVICES,OTHER BUSINESS SERVICES,FEDEX KINKOS,51.75
2011,JUDICIARY,SUPPLIES,PRINTING & BINDING SUPPLIES,FEDEX KINKOS,15.19
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,585.3
2011,JUDICIARY,PROFESSIONAL SERVICES,PRINTING & BINDING SERVICES,FEDEX KINKOS,1882.91
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FERGUSON ENTERPRISES,13568.09
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FERGUSON ENTERPRISES,871.34
2011,OFFICE OF ADMINISTRATION,SUPPLIES,MECHANICAL SUPPLIES,FERGUSON ENTERPRISES,698.09
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,FERGUSON ENTERPRISES,1143.38
2011,OFFICE OF ADMINISTRATION,SUPPLIES,UNIFORMS & CLOTHING,FERGUSON ENTERPRISES,51.31
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,FERGUSON ENTERPRISES,175
2011,OFFICE OF ADMINISTRATION,SUPPLIES,ELECTRICAL SUPPLIES,FERGUSON ENTERPRISES,14.99
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,FERGUSON ENTERPRISES,121.49
2011,OFFICE OF ADMINISTRATION,SUPPLIES,PLUMBING SUPPLIES,FERGUSON ENTERPRISES,3123.31
2011,OFFICE OF ADMINISTRATION,SUPPLIES,PLUMBING SUPPLIES,FERGUSON ENTERPRISES,6091.85
2011,OFFICE OF ADMINISTRATION,SUPPLIES,MECHANICAL SUPPLIES,FERGUSON ENTERPRISES,148.98
2011,NATURAL RESOURCES,SUPPLIES,PLUMBING SUPPLIES,FERGUSON ENTERPRISES,202.91
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,FERGUSON ENTERPRISES,21.49
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL SERVICES,PHYSICAL EXAM SERVICES,FERGUSON MEDICAL GROUP,2634.74
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,LABORATORY SERVICES,FERGUSON MEDICAL GROUP,30
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FERGUSON MEDICAL GROUP,13159.18
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,FERGUSON MEDICAL GROUP,76
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,FERGUSON MEDICAL GROUP,3761.64
